Carrier,Month,DayofMonth,Median,Mean
MQ,6,13,0.0,14.764940239
MQ,6,14,-1.0,10.5142624287
MQ,6,15,2.0,23.3324250681
MQ,6,16,0.0,15.2352551359
MQ,6,17,0.0,19.2916943522
MQ,6,18,-2.0,6.37044400265
MQ,6,19,0.0,25.7796947578
MQ,6,20,0.0,13.200265252
MQ,6,21,-2.0,7.3306122449
MQ,6,22,0.0,15.54390742
MQ,6,23,-1.0,8.1351888668
MQ,6,24,-2.0,6.64966887417
MQ,6,25,0.0,12.6374501992
MQ,6,26,0.0,16.0795228628
MQ,6,27,1.0,14.5135851557
MQ,6,28,0.0,16.9347471452
MQ,6,29,3.0,21.1865214432
MQ,6,30,0.0,9.56622516556
MQ,7,1,-3.0,3.47140957447
MQ,7,2,-1.0,13.5629973475
MQ,7,3,-1.0,7.85278514589
MQ,7,4,-4.0,0.245849802372
MQ,7,5,-4.0,0.694421988682
MQ,7,6,-2.0,5.49454297408
MQ,7,7,0.0,15.2582781457
MQ,7,8,-1.0,12.8601722995
MQ,7,9,0.0,13.8377483444
MQ,7,10,-1.0,16.1390728477
MQ,7,11,0.0,11.8301260783
MQ,7,12,0.0,9.57831325301
MQ,7,13,0.0,12.0299931834
MQ,7,14,0.0,11.4754966887
MQ,7,15,-3.0,6.61523178808
MQ,7,16,-2.0,5.13262599469
MQ,7,17,-2.5,3.62649006623
MQ,7,18,0.0,11.9449236894
MQ,7,19,0.0,12.8194221509
MQ,7,20,-1.0,9.97818677573
MQ,7,21,-1.0,8.1701986755
MQ,7,22,-1.0,6.94900662252
MQ,7,23,-2.0,3.27880794702
MQ,7,24,0.0,13.5616710875
MQ,7,25,0.0,10.4568393094
MQ,7,26,-2.0,4.72083668544
MQ,7,27,-1.0,10.3133105802
MQ,7,28,-1.0,10.2046357616
MQ,7,29,-3.0,3.95427435388
MQ,7,30,-1.0,11.598806366
MQ,7,31,0.0,19.8869680851
MQ,8,1,1.0,15.5051334702
MQ,8,2,-2.0,7.848059455
MQ,8,3,-1.0,8.18987341772
MQ,8,4,0.0,19.860259032
MQ,8,5,1.0,16.2788002727
MQ,8,6,-2.0,4.66643929059
MQ,8,7,-2.0,7.40695296524
MQ,8,8,-2.0,7.38744884038
MQ,8,9,-2.0,5.46166529266
MQ,8,10,0.0,12.9655657063
MQ,8,11,0.0,15.4945504087
MQ,8,12,-2.0,4.9121253406
MQ,8,13,-4.0,0.523841961853
MQ,8,14,-2.0,7.07907293797
MQ,8,15,0.0,16.8785811733
MQ,8,16,-2.0,4.72757201646
MQ,8,17,-3.0,2.07800421644
MQ,8,18,-3.0,2.92024539877
MQ,8,19,-3.0,3.29904632153
MQ,8,20,-2.0,9.52182810368
MQ,8,21,-3.0,4.99113837764
MQ,8,22,-2.0,9.53137789905
MQ,8,23,-3.0,2.88540807914
MQ,8,24,-3.0,4.10189739986
MQ,8,25,-3.0,3.98091342877
MQ,8,26,-3.0,5.10694822888
MQ,8,27,-4.0,1.76209952284
MQ,8,28,-3.0,2.79822767553
MQ,8,29,-2.0,8.09624573379
MQ,8,30,-4.0,1.5565529623
MQ,8,31,-4.0,2.08413461538
MQ,9,1,-3.0,1.77642857143
MQ,9,2,-2.0,4.57544581619
MQ,9,3,-4.0,2.03837638376
MQ,9,4,-2.0,12.2742054693
MQ,9,5,-4.0,0.569948186528
MQ,9,6,-4.0,2.57699443414
MQ,9,7,-4.0,0.485451761103
MQ,9,8,-2.0,9.68662232077
MQ,9,9,-3.0,9.51219512195
MQ,9,10,-4.0,1.11973392461
MQ,9,11,-3.0,2.08419497784
MQ,9,12,0.0,15.5240919199
MQ,9,13,0.0,14.0482822656
MQ,9,14,0.0,12.9670750383
MQ,9,15,-1.0,6.5317577548
MQ,9,16,-4.0,0.869276218612
MQ,9,17,-4.0,0.329637841833
MQ,9,18,-3.0,2.89874353289
MQ,9,19,-3.0,1.05325443787
MQ,9,20,-4.0,0.388115134633
MQ,9,21,-1.0,8.53751914242
MQ,9,22,-3.0,3.82261640798
MQ,9,23,-4.0,-0.944526627219
MQ,9,24,-4.0,1.82717872969
MQ,9,25,-3.0,1.57879234168
MQ,9,26,-3.0,7.62536873156
MQ,9,27,-4.0,3.41890639481
MQ,9,28,-4.0,2.98475609756
MQ,9,29,-3.0,5.48969072165
MQ,9,30,-4.0,0.940915805022
MQ,10,1,-3.0,1.47294117647
MQ,10,2,-4.0,0.810236220472
MQ,10,3,-3.0,3.15378548896
MQ,10,4,-4.0,-0.379921259843
MQ,10,5,-3.0,4.0
MQ,10,6,-3.0,3.32629107981
MQ,10,7,-3.0,4.92097026604
MQ,10,8,-3.0,0.651017214397
MQ,10,9,-3.0,1.01809598741
MQ,10,10,-3.0,3.57097791798
MQ,10,11,-4.0,1.41246290801
MQ,10,12,-3.0,0.482391482391
MQ,10,13,-3.0,1.12598425197
MQ,10,14,-4.0,1.66299212598
MQ,10,15,-2.0,9.83622047244
MQ,10,16,-2.0,6.24330708661
MQ,10,17,-3.0,1.72712933754
MQ,10,18,-4.0,0.907022749753
MQ,10,19,-3.0,0.470925470925
MQ,10,20,-3.0,1.85039370079
MQ,10,21,-4.0,1.4
MQ,10,22,-3.0,3.36771653543
MQ,10,23,-3.0,0.68031496063
MQ,10,24,-2.0,6.47634069401
MQ,10,25,-4.0,2.95351137488
MQ,10,26,-1.0,12.506961507
MQ,10,27,-1.0,11.0937007874
MQ,10,28,-3.0,4.55275590551
MQ,10,29,-3.0,1.08503937008
MQ,10,30,-3.0,1.95511811024
MQ,10,31,-3.0,3.03157063931
MQ,11,1,-4.0,-0.22244488978
MQ,11,2,-3.0,2.63765541741
MQ,11,3,-4.0,-0.372268907563
MQ,11,4,-4.0,-1.56974789916
MQ,11,5,-3.0,1.29411764706
MQ,11,6,-1.0,9.71189279732
MQ,11,7,-1.0,9.14345637584
MQ,11,8,-2.0,5.07826982492
MQ,11,9,-2.0,3.97283085013
MQ,11,10,-3.0,6.24201680672
MQ,11,11,-1.0,10.8114478114
MQ,11,12,-1.0,11.2924369748
MQ,11,13,-2.0,5.51675041876
MQ,11,14,-1.0,8.69966442953
MQ,11,15,-3.0,4.22760041195
MQ,11,16,-2.0,3.64592462752
MQ,11,17,-2.0,2.72521008403
MQ,11,18,-3.0,1.94705882353
MQ,11,19,-3.0,2.00168067227
MQ,11,20,-1.0,5.27051926298
MQ,11,21,-1.0,4.40771812081
MQ,11,22,-1.0,5.1184346035
MQ,11,23,-3.0,1.25503943909
MQ,11,24,-2.0,5.29411764706
MQ,11,25,-2.0,5.58235294118
MQ,11,26,-2.0,3.39782244556
MQ,11,27,-3.0,-0.00455062571104
MQ,11,28,-3.0,0.971456692913
MQ,11,29,-2.0,2.11934156379
MQ,11,30,10.0,33.6643295355
MQ,12,1,24.0,43.0924369748
MQ,12,2,2.0,11.8329113924
MQ,12,3,-1.0,9.78800675676
MQ,12,4,-2.0,3.09595959596
MQ,12,5,-2.0,5.70970464135
MQ,12,6,-2.0,8.196875
MQ,12,7,-2.0,4.93139841689
MQ,12,8,-2.0,3.00760135135
MQ,12,9,0.0,12.1951013514
MQ,12,10,1.0,16.0337837838
MQ,12,11,-1.0,9.31986531987
MQ,12,12,-1.0,4.77383966245
