Carrier,ArrDelay,Month,DayofMonth,Ratio,Total Delay
AA,19,11,11,0.1906,295
AA,56,11,12,0.2322,362
AA,158,11,13,0.1887,295
AA,142,11,14,0.2052,321
AA,46,11,15,0.1362,180
AA,33,11,16,0.1342,204
AA,23,11,17,0.1128,176
AA,21,11,18,0.0846,131
AA,116,11,19,0.0956,149
AA,38,11,20,0.1289,202
AA,33,11,21,0.1390,218
AA,18,11,22,0.0968,128
AA,41,11,23,0.0841,128
AA,21,11,24,0.1133,177
AA,34,11,25,0.1082,168
AA,17,11,26,0.0685,107
AA,99,11,27,0.0821,90
AA,21,11,28,0.0954,134
AA,45,11,29,0.1256,166
AA,50,11,30,0.4423,674
AA,20,12,1,0.4424,691
AA,31,12,2,0.1561,242
AA,186,12,3,0.1531,239
AA,18,12,4,0.1418,222
AA,34,12,5,0.1232,193
AA,18,12,6,0.1377,182
AA,18,12,7,0.1932,294
AA,55,12,8,0.1325,207
AA,34,12,9,0.2781,431
AA,21,12,10,0.2319,362
AA,19,12,11,0.2256,353
AA,54,12,12,0.1935,303
AA,20,12,13,0.1214,161
AA,97,12,14,0.2109,321
AA,85,12,15,0.3502,547
AA,28,12,16,0.5916,917
AA,66,12,17,0.3551,555
AA,17,12,18,0.3826,606
AA,193,12,19,0.3601,575
AA,51,12,20,0.3968,538
AA,36,12,21,0.4524,699
AA,20,12,22,0.3699,587
AA,25,12,23,0.4003,632
AA,28,12,24,0.3915,570
AA,21,12,25,0.1870,276
AA,21,12,26,0.3045,483
AA,19,12,27,0.6320,857
AA,36,12,28,0.1864,288
AA,16,12,29,0.1097,174
AA,143,12,30,0.1488,235
AA,17,12,31,0.1795,273
MQ,28,1,1,0.4018,579
MQ,15,1,2,0.4511,651
MQ,74,1,3,0.1704,245
MQ,43,1,4,0.1666,239
MQ,37,1,5,0.2433,290
MQ,71,1,6,0.3014,419
MQ,103,1,7,0.2592,373
MQ,18,1,8,0.3828,552
MQ,44,1,9,0.1284,185
MQ,57,1,10,0.2219,320
MQ,20,1,11,0.2106,303
MQ,17,1,12,0.0814,97
MQ,82,1,13,0.1619,225
MQ,28,1,14,0.2594,374
MQ,28,1,15,0.1409,203
MQ,18,1,16,0.0979,141
MQ,41,1,17,0.4076,587
MQ,84,1,18,0.3375,485
MQ,49,1,19,0.2062,246
MQ,36,1,20,0.1971,274
MQ,60,1,21,0.3528,508
MQ,42,1,22,0.4774,687
MQ,26,1,23,0.3746,539
MQ,75,1,24,0.2039,294
MQ,39,1,25,0.3023,435
MQ,78,1,26,0.3908,465
MQ,45,1,27,0.3866,537
MQ,47,1,28,0.2977,429
MQ,68,1,29,0.3588,517
MQ,21,1,30,0.2609,376
MQ,45,1,31,0.4571,661
MQ,23,2,1,0.4186,604
MQ,46,2,2,0.3391,370
MQ,25,2,3,0.2931,410
MQ,64,2,4,0.2524,364
MQ,20,2,5,0.4401,636
MQ,24,2,6,0.2639,381
MQ,30,2,7,0.3696,534
MQ,15,2,8,0.3724,537
MQ,18,2,9,0.1622,177
MQ,39,2,10,0.3062,428
MQ,102,2,11,0.3643,526
MQ,49,2,12,0.4550,657
MQ,93,2,13,0.3640,526
MQ,24,2,14,0.2185,316
MQ,21,2,15,0.3053,440
MQ,62,2,16,0.2931,316
MQ,45,2,17,0.3080,417
MQ,19,2,18,0.4341,622
MQ,16,2,19,0.3223,466
MQ,40,2,20,0.1743,252
MQ,28,2,21,0.4245,613
MQ,21,2,22,0.4456,643
MQ,15,2,23,0.1700,186
MQ,28,2,24,0.1644,230
MQ,21,2,25,0.2967,429
MQ,52,2,26,0.3548,513
MQ,51,2,27,0.2285,330
MQ,15,2,28,0.1542,223
MQ,21,2,29,0.3779,545
MQ,19,3,1,0.1236,135
MQ,158,3,2,0.1997,275
MQ,52,3,3,0.4072,579
MQ,17,3,4,0.3336,475
MQ,24,3,5,0.1538,219
MQ,15,3,6,0.1570,223
MQ,80,3,7,0.4796,681
MQ,35,3,8,0.3327,359
MQ,43,3,9,0.3763,517
MQ,15,3,10,0.2674,380
MQ,19,3,11,0.3219,458
MQ,22,3,12,0.1343,191
MQ,21,3,13,0.1730,246
MQ,15,3,14,0.2099,298
MQ,33,3,15,0.1591,172
MQ,21,3,16,0.2084,287
MQ,25,3,17,0.2754,391
MQ,16,3,18,0.3134,446
MQ,18,3,19,0.4526,644
MQ,31,3,20,0.2263,322
MQ,48,3,21,0.3319,471
MQ,31,3,22,0.3090,334
MQ,32,3,23,0.1546,213
MQ,17,3,24,0.1680,239
MQ,123,3,25,0.3982,567
MQ,32,3,26,0.1104,157
MQ,18,3,27,0.3003,427
MQ,24,3,28,0.3434,488
MQ,16,3,29,0.1386,150
MQ,16,3,30,0.4067,560
MQ,34,3,31,0.4533,645
MQ,17,4,1,0.3310,471
MQ,42,4,2,0.1441,205
MQ,21,4,3,0.2319,330
MQ,18,4,4,0.4096,582
MQ,16,4,5,0.1593,172
MQ,45,4,6,0.2108,290
MQ,18,4,7,0.1967,286
MQ,54,4,8,0.2840,414
MQ,47,4,9,0.2679,390
MQ,67,4,10,0.4701,684
MQ,43,4,11,0.3802,554
MQ,125,4,12,0.2159,245
MQ,20,4,13,0.1956,277
MQ,17,4,14,0.1351,197
MQ,16,4,15,0.1661,242
MQ,17,4,16,0.2298,335
MQ,34,4,17,0.1557,227
MQ,15,4,18,0.2402,350
MQ,24,4,19,0.1109,126
MQ,58,4,20,0.1955,277
MQ,17,4,21,0.1674,244
MQ,33,4,22,0.1207,176
MQ,19,4,23,0.1982,289
MQ,31,4,24,0.2044,298
MQ,30,4,25,0.3498,509
MQ,15,4,26,0.2833,321
MQ,33,4,27,0.2465,349
MQ,58,4,28,0.3056,445
MQ,16,4,29,0.1262,184
MQ,50,4,30,0.1324,193
MQ,23,5,1,0.1372,200
MQ,56,5,2,0.4711,685
MQ,22,5,3,0.2074,240
MQ,19,5,4,0.1157,164
MQ,15,5,5,0.2503,365
MQ,64,5,6,0.2390,348
MQ,23,5,7,0.4406,642
MQ,22,5,8,0.1962,286
MQ,20,5,9,0.2186,318
MQ,16,5,10,0.1265,146
MQ,24,5,11,0.3232,458
MQ,26,5,12,0.1750,255
MQ,122,5,13,0.2599,379
MQ,32,5,14,0.3819,556
MQ,16,5,15,0.1687,246
MQ,15,5,16,0.2301,335
MQ,18,5,17,0.0910,105
MQ,28,5,18,0.1150,163
MQ,20,5,19,0.1311,191
MQ,15,5,20,0.1989,290
MQ,48,5,21,0.1427,208
MQ,70,5,22,0.2244,327
MQ,23,5,23,0.2074,302
MQ,15,5,24,0.1275,147
MQ,38,5,25,0.0765,99
MQ,19,5,26,0.1006,145
MQ,62,5,27,0.2591,377
MQ,30,5,28,0.1619,236
MQ,32,5,29,0.1071,156
MQ,59,5,30,0.3155,459
MQ,19,5,31,0.1513,174
MQ,134,6,1,0.2073,303
MQ,40,6,2,0.1074,162
MQ,30,6,3,0.3106,469
MQ,16,6,4,0.3565,538
MQ,47,6,5,0.3801,574
MQ,22,6,6,0.3214,485
MQ,18,6,7,0.2901,356
